cod_commune;lib_commune;dat_transmission_tim
70292;Jussey;2000-04-12 02:00:00
57080;Bickenholtz;2001-06-13 02:00:00
03021;Bègues;2000-02-02 01:00:00
2B305;San-Martino-di-Lota;2001-06-08 02:00:00
57408;Lixing-lès-Rouhling;2001-07-12 02:00:00
68112;Guebwiller;2001-05-29 02:00:00
38511;Le Touvet;2000-07-11 02:00:00
57331;Hombourg-Budange;2001-07-12 02:00:00
68010;Aspach;2000-01-17 01:00:00
42088;Épercieux-Saint-Paul;2000-05-25 02:00:00
42313;Trelins;2000-05-25 02:00:00
54383;Mont-sur-Meurthe;2001-01-24 01:00:00
57512;Nouilly;2001-07-17 02:00:00
62610;Neuville-sous-Montreuil;2000-12-26 01:00:00
57590;Rolbing;2000-10-19 02:00:00
93062;Le Raincy;2001-11-29 01:00:00
84008;Le Barroux;2000-05-30 02:00:00
54077;Blâmont;2001-11-15 01:00:00
68217;Moosch;2001-04-09 02:00:00
83153;Saint-Mandrier-sur-Mer;2000-05-10 02:00:00
68087;Feldbach;2000-01-17 01:00:00
05003;Aiguilles;2000-05-16 02:00:00
38177;La Garde;2001-06-22 02:00:00
05181;Villar-d'Arêne;2000-05-16 02:00:00
68061;Buschwiller;2000-01-17 01:00:00
68341;Uffheim;2000-01-17 01:00:00
05014;Barret-sur-Méouge;2000-12-11 01:00:00
2B037;Biguglia;2001-06-08 02:00:00
38160;Eyzin-Pinet;2000-07-10 02:00:00
57267;Le Val-de-Guéblange;2001-10-11 02:00:00
13003;Alleins;2000-10-24 02:00:00
70101;Broye-Aubigney-Montseugny;2000-04-11 02:00:00
05176;Valserres;2000-12-11 01:00:00
11279;Pennautier;2000-06-20 02:00:00
17306;Royan;2001-01-15 01:00:00
97415;Saint-Paul;2001-04-26 02:00:00
05173;Upaix;2001-12-17 01:00:00
57357;Kappelkinger;2000-09-13 02:00:00
43061;Chaspinhac;2001-11-12 01:00:00
62046;Aubin-Saint-Vaast;2000-12-26 01:00:00
68318;Soultzmatt;2000-01-17 01:00:00
13065;Mouriès;2000-08-24 02:00:00
57571;Rémering-lès-Puttelange;2001-05-03 02:00:00
42286;Saint-Romain-les-Atheux;2001-05-29 02:00:00
17461;Vaux-sur-Mer;2001-01-15 01:00:00
97202;Les Anses-d'Arlet;2001-11-14 01:00:00
11086;Caves;2001-11-16 01:00:00
97413;Saint-Leu;2001-04-26 02:00:00
95210;Enghien-les-Bains;2001-10-25 02:00:00
01276;Niévroz;2001-06-22 02:00:00
17091;Charron;2001-03-20 01:00:00
09050;Benagues;2000-06-13 02:00:00
37213;Saint-Christophe-sur-le-Nais;2000-02-08 01:00:00
68172;Kunheim;2000-01-17 01:00:00
70575;Voray-sur-l'Ognon;2001-03-06 01:00:00
68325;Steinsoultz;2000-01-17 01:00:00
84119;Saint-Saturnin-lès-Avignon;2000-06-22 02:00:00
01049;La Boisse;2001-06-22 02:00:00
57695;Varize-Vaudoncourt;2001-10-11 02:00:00
68335;Thannenkirch;2000-01-17 01:00:00
93072;Stains;2001-11-29 01:00:00
68245;Obermorschwiller;2000-01-17 01:00:00
17351;Saint-Just-Luzac;2001-01-15 01:00:00
57504;Niderhoff;2000-10-10 02:00:00
62261;Cucq;2000-12-26 01:00:00
97201;L'Ajoupa-Bouillon;2001-02-01 01:00:00
57549;Pontpierre;2000-10-10 02:00:00
67379;Preuschdorf;2000-06-23 02:00:00
57421;Loutzviller;2000-09-13 02:00:00
67394;Retschwiller;2000-06-23 02:00:00
83070;Le Lavandou;2001-03-14 01:00:00
57234;Frauenberg;2001-06-13 02:00:00
17098;Chenac-Saint-Seurin-d'Uzet;2000-11-13 01:00:00
95254;Frémécourt;2001-03-02 01:00:00
26326;Saint-Restitut;2000-07-10 02:00:00
51346;Mareuil-le-Port;2000-07-12 02:00:00
54286;Labry;2001-11-15 01:00:00
68285;Rorschwihr;2000-01-17 01:00:00
97223;Saint-Esprit;2001-11-14 01:00:00
18207;Saint-Florent-sur-Cher;2001-11-15 01:00:00
70119;Chambornay-lès-Pin;2000-04-11 02:00:00
57235;Freistroff;2001-03-14 01:00:00
17299;Rochefort;2001-02-14 01:00:00
68209;Mittelwihr;2000-01-17 01:00:00
05038;Château-Ville-Vieille;2000-06-05 02:00:00
95039;Auvers-sur-Oise;2000-04-12 02:00:00
05073;Lazer;2000-12-11 01:00:00
05127;Rousset-Serre-Ponçon;2001-12-10 01:00:00
97422;Le Tampon;2001-04-26 02:00:00
37226;Sainte-Maure-de-Touraine;2000-02-08 01:00:00
58020;Avril-sur-Loire;1997-11-28 12:00:00
58060;Charrin;1997-11-28 12:00:00
58072;Chevenon;1997-11-28 12:00:00
58115;Fleury-sur-Loire;1997-11-28 12:00:00
58124;Germigny-sur-Loire;1997-11-28 12:00:00
58137;Lamenay-sur-Loire;1997-11-28 12:00:00
58148;Luthenay-Uxeloup;1997-11-28 12:00:00
58155;La Marche;1997-11-28 12:00:00
58238;Saint-Ã‰loi;1997-11-28 12:00:00
58245;Saint-Hilaire-Fontaine;1997-11-28 12:00:00
54315;Leyr;2001-11-15 01:00:00
38191;Huez;2001-06-22 02:00:00
46251;Saint-Céré;2000-02-07 01:00:00
57107;Bréhain;2001-06-13 02:00:00
62551;Marenla;2000-12-26 01:00:00
70107;Bussières;2001-03-06 01:00:00
54312;Lesménils;2001-01-24 01:00:00
54232;Gondreville;2001-01-24 01:00:00
11035;Belvianes-et-Cavirac;2001-10-09 02:00:00
54277;Jeandelize;2001-11-15 01:00:00
54369;Millery;2001-01-24 01:00:00
83009;Bandol;2001-03-14 01:00:00
05032;Champoléon;2000-12-21 01:00:00
42182;Renaison;2001-05-29 02:00:00
37051;Champigny-sur-Veude;2000-02-08 01:00:00
89309;Pont-sur-Yonne;2000-04-27 02:00:00
26002;Albon;2000-07-10 02:00:00
68372;Willer-sur-Thur;2001-04-09 02:00:00
26174;Margès;2000-07-28 02:00:00
68128;Heimersdorf;2000-01-17 01:00:00
42167;Pavezin;2000-05-25 02:00:00
54472;Saint-Clément;2001-01-24 01:00:00
05001;Abriès-Ristolas;2000-06-05 02:00:00
38563;Voiron;2001-06-22 02:00:00
38020;Auris;2001-06-22 02:00:00
70007;Ailloncourt;2000-08-30 02:00:00
57059;Bellange;2000-06-05 02:00:00
09324;Varilhes;2000-06-13 02:00:00
18172;Orval;2000-07-13 02:00:00
37248;Seuilly;2000-02-08 01:00:00
68151;Husseren-Wesserling;2001-04-09 02:00:00
57581;Richeling;2001-05-03 02:00:00
38131;Les Côtes-d'Arey;2000-07-10 02:00:00
03043;Broût-Vernet;2000-02-03 01:00:00
60171;Courtieux;2001-03-30 02:00:00
42272;Saint-Pierre-de-Bœuf;2001-05-29 02:00:00
26362;Valence;2000-08-10 02:00:00
70084;Boulot;2001-03-06 01:00:00
01219;Lompnas;2000-11-09 01:00:00
68199;Malmerspach;2001-04-09 02:00:00
01280;Ordonnaz;2000-12-18 01:00:00
68055;Bruebach;2000-01-17 01:00:00
