jrc_event_id,gaspar_event_uid,cod_nat_catnat,jrc_start_date,jrc_end_date,gaspar_start_date,gaspar_end_date,matched_departments,exact_date_department_matches,start_end_window_unit_matches,cross_start_end_window_unit_matches,expanded_interval_overlap_unit_matches,mean_abs_start_diff_days,mean_abs_end_diff_days,mean_total_abs_date_diff_days,min_total_abs_date_diff_days,max_interval_overlap_days,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments,gaspar_event_start_date,gaspar_event_end_date,gaspar_total_communes,gaspar_total_departments,jrc_match_share,gaspar_match_share,jrc_match_rank
WD_MERGE_2016-11-14---2016-12-19_duration_35_days_cluster_259_A0_000162_A_000198_lat_05177_lon_-0106_size_0154,INTE1705706A__20161118__20161119,INTE1705706A,2016-11-14,2016-12-19,2016-11-18,2016-11-19,2,0,0,0,2,4.0,30.0,34.0,34,2,2016-11-14,2016-12-19,94,10,10,2016-11-18,2016-11-19,3,2,0.2,1.0,1
WD_MERGE_2024-05-13---2024-05-20_duration_7_days_cluster_070_A0_000052_A_000061_lat_04719_lon_00110_size_0066,INTE2424582A__20240522__20240522,INTE2424582A,2024-05-13,2024-05-20,2024-05-22,2024-05-22,2,0,0,0,2,9.0,2.0,11.0,11,0,2024-05-13,2024-05-20,212,14,14,2024-05-22,2024-05-22,4,4,0.14285714285714285,0.5,1
WD_MERGE_2023-10-02---2023-11-27_duration_56_days_cluster_343_A0_001031_A_001249_lat_05091_lon_-0185_size_0363,IOME2333648A__20231102__20231124,IOME2333648A,2023-10-02,2023-11-27,2023-11-02,2023-11-24,2,0,0,0,2,31.0,3.0,34.0,34,23,2023-10-02,2023-11-27,665,17,17,2023-11-02,2023-11-24,21,2,0.11764705882352941,1.0,1
WD_MERGE_2021-01-11---2021-03-22_duration_56_days_cluster_352_A0_000478_A_000602_lat_03951_lon_-0626_size_0252,INTE2105706A__20210129__20210204,INTE2105706A,2021-01-11,2021-03-22,2021-01-29,2021-02-04,2,0,0,0,2,18.0,46.0,64.0,64,7,2021-01-11,2021-03-22,346,17,17,2021-01-29,2021-02-04,63,2,0.11764705882352941,1.0,1
WD_MERGE_2016-11-21---2016-11-28_duration_7_days_cluster_264_A0_000092_A_000121_lat_04596_lon_00440_size_0115,INTE1711727A__20161121__20161123,INTE1711727A,2016-11-21,2016-11-28,2016-11-21,2016-11-23,2,0,2,2,2,0.0,5.0,5.0,5,3,2016-11-21,2016-11-28,353,20,20,2016-11-21,2016-11-23,2,2,0.1,1.0,1
WD_MERGE_2020-11-30---2021-01-04_duration_35_days_cluster_394_A0_000853_A_001042_lat_04937_lon_-0214_size_0264,INTE2104714A__20201228__20201229,INTE2104714A,2020-11-30,2021-01-04,2020-12-28,2020-12-29,2,0,0,0,2,28.0,6.0,34.0,34,2,2020-11-30,2021-01-04,821,28,28,2020-12-28,2020-12-29,5,2,0.07142857142857142,1.0,1
WD_MERGE_2017-12-04---2018-01-01_duration_28_days_cluster_370_A0_000806_A_001014_lat_05081_lon_00198_size_0323,INTE1808306A__20180103__20180103,INTE1808306A,2017-12-04,2018-01-01,2018-01-03,2018-01-03,2,0,0,0,2,30.0,2.0,32.0,32,0,2017-12-04,2018-01-01,1104,29,29,2018-01-03,2018-01-03,7,2,0.06896551724137931,1.0,1
WD_MERGE_2020-02-10---2020-04-13_duration_63_days_cluster_376_A0_002105_A_002662_lat_05130_lon_-0049_size_0424,INTE2014521A__20200417__20200417,INTE2014521A,2020-02-10,2020-04-13,2020-04-17,2020-04-17,2,0,0,0,2,67.0,4.0,71.0,71,0,2020-02-10,2020-04-13,1557,32,32,2020-04-17,2020-04-17,29,4,0.0625,0.5,1
WD_MERGE_2021-11-29---2022-01-03_duration_35_days_cluster_316_A0_000336_A_000413_lat_05065_lon_-0112_size_0274,INTE2137449A__20211127__20211129,INTE2137449A,2021-11-29,2022-01-03,2021-11-27,2021-11-29,2,0,0,0,2,2.0,35.0,37.0,37,1,2021-11-29,2022-01-03,534,33,33,2021-11-27,2021-11-29,21,2,0.06060606060606061,1.0,1
WD_MERGE_2021-01-04---2021-03-08_duration_63_days_cluster_350_A0_000854_A_001077_lat_05058_lon_-0039_size_0413,INTE2104714A__20210203__20210209,INTE2104714A,2021-01-04,2021-03-08,2021-02-03,2021-02-09,2,0,0,0,2,30.0,27.0,57.0,57,7,2021-01-04,2021-03-08,852,37,37,2021-02-03,2021-02-09,86,3,0.05405405405405406,0.6666666666666666,1
