jrc_event_id,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments
WD_MERGE_2017-10-16---2017-11-13_duration_21_days_cluster_263_A0_000116_A_000152_lat_05249_lon_-0493_size_0233,2017-10-16,2017-11-13,40,5,5
WD_MERGE_2017-11-13---2017-12-11_duration_28_days_cluster_368_A0_000527_A_000686_lat_05343_lon_00408_size_0362,2017-11-13,2017-12-11,26,5,5
WD_MERGE_2017-11-20---2017-11-27_duration_7_days_cluster_307_A0_000001_A_000001_lat_04469_lon_-0072_size_0007,2017-11-20,2017-11-27,5,1,1
WD_MERGE_2017-11-27---2017-12-04_duration_7_days_cluster_314_A0_000037_A_000057_lat_04925_lon_00426_size_0046,2017-11-27,2017-12-04,139,11,11
WD_MERGE_2018-01-01---2018-03-05_duration_63_days_cluster_350_A0_000423_A_000524_lat_05321_lon_-0559_size_0201,2018-01-01,2018-03-05,8,2,2
WD_MERGE_2018-03-12---2018-03-19_duration_7_days_cluster_043_A0_000001_A_000001_lat_04328_lon_00307_size_0003,2018-03-12,2018-03-19,12,3,3
WD_MERGE_2018-03-19---2018-04-30_duration_42_days_cluster_367_A0_000354_A_000437_lat_05276_lon_00119_size_0294,2018-03-19,2018-04-30,91,10,10
WD_MERGE_2018-04-30---2018-05-07_duration_7_days_cluster_065_A0_000003_A_000003_lat_04872_lon_-0381_size_0020,2018-04-30,2018-05-07,8,2,2
WD_MERGE_2018-05-21---2018-05-28_duration_7_days_cluster_088_A0_000045_A_000051_lat_04358_lon_00460_size_0016,2018-05-21,2018-05-28,19,6,6
WD_MERGE_2018-05-28---2018-06-04_duration_7_days_cluster_093_A0_000004_A_000005_lat_04870_lon_-0387_size_0025,2018-05-28,2018-06-04,11,2,2
WD_MERGE_2018-06-04---2018-06-11_duration_7_days_cluster_101_A0_000024_A_000027_lat_04356_lon_00456_size_0014,2018-06-04,2018-06-11,13,3,3
WD_MERGE_2018-07-02---2018-07-23_duration_21_days_cluster_130_A0_000031_A_000040_lat_05104_lon_-0076_size_0057,2018-07-02,2018-07-23,4,1,1
WD_MERGE_2018-07-09---2018-07-23_duration_14_days_cluster_139_A0_000002_A_000002_lat_04355_lon_00458_size_0019,2018-07-09,2018-07-23,13,4,4
WD_MERGE_2018-08-06---2018-08-13_duration_7_days_cluster_168_A0_000001_A_000001_lat_04356_lon_00459_size_0015,2018-08-06,2018-08-13,6,3,3
WD_MERGE_2018-08-13---2018-08-27_duration_14_days_cluster_175_A0_000011_A_000014_lat_04834_lon_-0359_size_0057,2018-08-13,2018-08-27,53,5,5
WD_MERGE_2018-10-08---2018-10-15_duration_7_days_cluster_241_A0_000008_A_000011_lat_04593_lon_-0109_size_0040,2018-10-08,2018-10-15,26,4,4
