event_id,year,start_date,end_date,duration_days,cluster_id,n_tiles,n_tiles_processed,event_path,n_communes,communes,n_candidates_tested,n_overlap_skipped
2015-06-22---2015-06-29_cluster_135,2015,2015-06-22,2015-06-29,7,135,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-22---2015-06-29_duration_7_days_cluster_135_A0_000003_A_000004_lat_05080_lon_-0108_size_0007.tif,0,,0,244
2015-06-22---2015-06-29_cluster_136,2015,2015-06-22,2015-06-29,7,136,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-22---2015-06-29_duration_7_days_cluster_136_A0_000002_A_000003_lat_05360_lon_00786_size_0084.tif,0,,0,0
2015-06-22---2015-06-29_cluster_137,2015,2015-06-22,2015-06-29,7,137,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-22---2015-06-29_duration_7_days_cluster_137_A0_000001_A_000001_lat_05925_lon_01358_size_0026.tif,0,,0,0
2015-06-22---2015-06-29_cluster_139,2015,2015-06-22,2015-06-29,7,139,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-22---2015-06-29_duration_7_days_cluster_139_A0_000006_A_000007_lat_04230_lon_02479_size_0022.tif,0,,0,0
2015-06-29---2015-07-06_cluster_141,2015,2015-06-29,2015-07-06,7,141,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-29---2015-07-06_duration_7_days_cluster_141_A0_000001_A_000001_lat_03618_lon_-0579_size_0005.tif,0,,0,0
2015-06-29---2015-07-06_cluster_142,2015,2015-06-29,2015-07-06,7,142,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-29---2015-07-06_duration_7_days_cluster_142_A0_000011_A_000021_lat_04073_lon_-0865_size_0005.tif,0,,0,0
2015-06-29---2015-07-06_cluster_143,2015,2015-06-29,2015-07-06,7,143,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-29---2015-07-06_duration_7_days_cluster_143_A0_000003_A_000003_lat_04756_lon_-0300_size_0032.tif,1,Le Croisic,752,264
2015-06-29---2015-07-20_cluster_144,2015,2015-06-29,2015-07-20,21,144,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-29---2015-07-20_duration_21_days_cluster_144_A0_000014_A_000017_lat_05175_lon_00130_size_0046.tif,0,,234,597
2015-06-29---2015-07-20_cluster_147,2015,2015-06-29,2015-07-20,21,147,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-06-29---2015-07-20_duration_21_days_cluster_147_A0_000018_A_000041_lat_04453_lon_04588_size_0151.tif,0,,0,0
2015-07-06---2015-07-13_cluster_148,2015,2015-07-06,2015-07-13,7,148,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-06---2015-07-13_duration_7_days_cluster_148_A0_000019_A_000038_lat_03706_lon_-0773_size_0017.tif,0,,0,0
2015-07-06---2015-07-13_cluster_149,2015,2015-07-06,2015-07-13,7,149,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-06---2015-07-13_duration_7_days_cluster_149_A0_000001_A_000001_lat_04598_lon_00503_size_0007.tif,0,,5859,3089
2015-07-06---2015-07-13_cluster_150,2015,2015-07-06,2015-07-13,7,150,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-06---2015-07-13_duration_7_days_cluster_150_A0_000001_A_000001_lat_04425_lon_02760_size_0034.tif,0,,0,0
2015-07-06---2015-07-13_cluster_153,2015,2015-07-06,2015-07-13,7,153,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-06---2015-07-13_duration_7_days_cluster_153_A0_000032_A_000065_lat_03549_lon_03754_size_0015.tif,0,,0,0
2015-07-06---2015-07-13_cluster_154,2015,2015-07-06,2015-07-13,7,154,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-06---2015-07-13_duration_7_days_cluster_154_A0_000005_A_000008_lat_04578_lon_04197_size_0017.tif,0,,0,0
2015-07-13---2015-07-20_cluster_155,2015,2015-07-13,2015-07-20,7,155,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-13---2015-07-20_duration_7_days_cluster_155_A0_000006_A_000007_lat_04871_lon_-0384_size_0023.tif,0,,752,264
2015-07-13---2015-07-20_cluster_158,2015,2015-07-13,2015-07-20,7,158,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-13---2015-07-20_duration_7_days_cluster_158_A0_000002_A_000005_lat_03556_lon_03917_size_0016.tif,0,,0,0
2015-07-20---2015-07-27_cluster_159,2015,2015-07-20,2015-07-27,7,159,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-20---2015-07-27_duration_7_days_cluster_159_A0_000008_A_000010_lat_05082_lon_-0112_size_0009.tif,0,,0,244
2015-07-20---2015-07-27_cluster_160,2015,2015-07-20,2015-07-27,7,160,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-20---2015-07-27_duration_7_days_cluster_160_A0_000002_A_000002_lat_06776_lon_01501_size_0032.tif,0,,0,0
2015-07-27---2015-08-03_cluster_164,2015,2015-07-27,2015-08-03,7,164,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-27---2015-08-03_duration_7_days_cluster_164_A0_000001_A_000001_lat_06502_lon_-2179_size_0028.tif,0,,0,0
2015-07-27---2015-08-03_cluster_165,2015,2015-07-27,2015-08-03,7,165,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-27---2015-08-03_duration_7_days_cluster_165_A0_000001_A_000002_lat_05199_lon_00166_size_0014.tif,0,,234,597
2015-07-27---2015-08-03_cluster_166,2015,2015-07-27,2015-08-03,7,166,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-27---2015-08-03_duration_7_days_cluster_166_A0_000001_A_000001_lat_04509_lon_00905_size_0027.tif,0,,69,249
2015-07-27---2015-08-03_cluster_167,2015,2015-07-27,2015-08-03,7,167,1,1,D:\M2_MoSEF\Acclim\DataCollection\data\JRC_flood_depth_maps\2015_filtered\WD_MERGE_2015-07-27---2015-08-03_duration_7_days_cluster_167_A0_000011_A_000014_lat_06551_lon_01505_size_0027.tif,0,,0,0
